_id,Beta,q,collisionality_elec,s-hat,temp_grad_elec,temp_grad_ion,dens_grad_elec,dens_grad_ion,impurity_density,impurity_charge,alpha_MHD,Ti_over_Te,ky,collection
69a5f56c5fbf004f2b2a7784,0.0015979015919886407,-3.5959367752075195,1.157549961979709,4.1623365147820515,29.616866768506213,35.60773377636992,8.785028497233233,10.720352780926433,0.060347393,6.0,0.06322598550928667,1.6344213,-0.10241228647134339,LinearRuns
69a5f5775fbf004f2b2a77b4,0.0017799368461231093,-3.665842294692993,1.3485422509722425,4.418971253747087,32.297441189459796,38.154673894870584,11.233986968959226,10.37243778474012,0.060389239,6.0,0.07665919481624663,1.6289071,-0.034104460234271536,LinearRuns
69a5f5815fbf004f2b2a77d2,0.0017340131780082203,-3.7285823822021484,1.3892373063604782,4.641348267453411,36.43283410040165,40.9189915036159,14.616812461843928,8.439314862380545,0.060197067,6.0,0.08210867934235665,1.624108,-0.034124783419558,LinearRuns
69a5f58c5fbf004f2b2a77f0,0.0016807746035742814,-3.795924663543701,1.4354405709088887,4.889917425409601,43.08846400600353,44.0125300297454,20.243554176424343,4.456183886883556,0.059580214,6.0,0.08983968731320342,1.6214827,-0.03411410918412791,LinearRuns
69a5f5975fbf004f2b2a780e,0.0016158564172694613,-3.8662378787994385,1.490110951252789,5.16731813164786,53.77467909565377,47.48564362628902,29.39931467036625,-2.089043554569376,0.058224238,6.0,0.1011689608868091,1.6234984,-0.034033070093779205,LinearRuns
69a5f5a15fbf004f2b2a782c,0.0015332569717798783,-3.9405126571655273,1.5584587628401565,5.475618870739857,70.70297279454283,51.40196552785409,44.0414998912549,-10.473122413419588,0.055737495,6.0,0.11859984676864835,1.6341656,-0.033897387593144236,LinearRuns
69a5f5ac5fbf004f2b2a784a,0.0014257198808470012,-4.020464897155762,1.6491349090959697,5.784584702701213,96.82698000882526,55.71003989472034,66.72852816533108,-14.446615104420987,0.051681079,6.0,0.1467974911242994,1.6597337,-0.03360046071565561,LinearRuns
69a5f5b75fbf004f2b2a7868,0.001286321856826669,-4.103916645050049,1.7758934541627984,6.043700574509306,135.2825053663863,60.48151330858788,100.14589105960344,-3.405012637622938,0.04595688,6.0,0.19006625504680877,1.709639,-0.03301725799881971,LinearRuns
69a5f5c25fbf004f2b2a7886,0.0011125608127714828,-4.190536975860596,1.9594951530335811,6.244485728381369,188.2576217334641,65.82195384525986,146.12602306164092,35.18188189374152,0.039023332,6.0,0.24833332220792517,1.7973319,-0.032119998961137416,LinearRuns
69a5f5cd5fbf004f2b2a78a4,0.0009112444743929447,-4.280478000640869,2.2316227753073443,6.535034536892118,255.50335545690336,71.5751921615492,204.23910047579446,103.54546824646819,0.031933177,6.0,0.3076107225154619,1.9409988,-0.030804901050933555,LinearRuns
69a5f5d75fbf004f2b2a78c2,0.000700488991996842,-4.378944396972656,2.638436802477164,7.288499972435039,331.42108661952585,77.55007325988494,268.92104528498805,189.00878005985763,0.02570905,6.0,0.34389442050382685,2.1635656,-0.029072244219173055,LinearRuns
69a5f5e25fbf004f2b2a78e0,0.0005046507590066809,-4.492125034332275,3.2443521403095334,8.96816269646358,410.22757322304733,84.62184756551909,333.24922493797067,275.3527462587231,0.020881455,6.0,0.34388157901402133,2.4919286,-0.027085491090159043,LinearRuns
69a5f5ec5fbf004f2b2a78fe,0.0003432733089760055,-4.6426544189453125,4.144955793347625,12.367267257274126,484.4011467821477,93.11769286926571,387.57532201548736,348.14604126634214,0.017489063,6.0,0.3099352534637829,2.9565983,-0.025045953526119588,LinearRuns
